fold,mode,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,current_capital,peak_capital,current_drawdown,open_positions,start_time,end_time
80,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:47.309000,2026-02-19 16:15:47.309004
81,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:47.531009,2026-02-19 16:15:47.531013
81,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:47.801358,2026-02-19 16:15:47.801362
82,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:48.027606,2026-02-19 16:15:48.027610
82,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:48.296131,2026-02-19 16:15:48.296139
83,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:48.523261,2026-02-19 16:15:48.523265
83,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:48.792839,2026-02-19 16:15:48.792843
84,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:49.021950,2026-02-19 16:15:49.021955
84,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:49.290580,2026-02-19 16:15:49.290584
85,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:49.515384,2026-02-19 16:15:49.515388
85,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:49.788943,2026-02-19 16:15:49.788949
86,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:50.014146,2026-02-19 16:15:50.014150
86,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:50.520026,2026-02-19 16:15:50.520030
87,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:50.752890,2026-02-19 16:15:50.752894
87,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:51.015665,2026-02-19 16:15:51.015669
88,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:51.248427,2026-02-19 16:15:51.248430
88,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:51.514644,2026-02-19 16:15:51.514648
89,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:51.915378,2026-02-19 16:15:51.915383
89,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:52.401810,2026-02-19 16:15:52.401839
90,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:52.635708,2026-02-19 16:15:52.635712
90,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:52.903365,2026-02-19 16:15:52.903369
91,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:53.129071,2026-02-19 16:15:53.129075
91,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:53.398109,2026-02-19 16:15:53.398113
92,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:53.626496,2026-02-19 16:15:53.626500
92,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:53.895401,2026-02-19 16:15:53.895405
93,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:54.119938,2026-02-19 16:15:54.119945
93,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:54.562014,2026-02-19 16:15:54.562019
94,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:54.833959,2026-02-19 16:15:54.833964
94,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:55.272821,2026-02-19 16:15:55.272832
95,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:55.600997,2026-02-19 16:15:55.601001
95,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:55.954070,2026-02-19 16:15:55.954075
96,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:56.224157,2026-02-19 16:15:56.224161
96,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:56.496465,2026-02-19 16:15:56.496470
97,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:56.951985,2026-02-19 16:15:56.951992
97,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:57.307886,2026-02-19 16:15:57.307895
98,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:57.603207,2026-02-19 16:15:57.603230
98,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:57.937089,2026-02-19 16:15:57.937101
99,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:58.232739,2026-02-19 16:15:58.232746
99,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:58.563092,2026-02-19 16:15:58.563100
100,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:59.020889,2026-02-19 16:15:59.020899
100,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:59.385015,2026-02-19 16:15:59.385023
101,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:59.679226,2026-02-19 16:15:59.679232
101,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:16:00.012874,2026-02-19 16:16:00.012880
